sentence,label
บริการขนส่งนักศึกษาที่ไม่สามารถย้ายไปศูนย์แม่ริมได้,1
อยากให้เปิดศูนย์แม่ริมเร็วๆ เนื่องจากบ้านผมอยู่ใกล้ จะได้ช้วยลดค่าใช้จ่าย,0
ศูนย์แม่ริมอยู่ไกลจากบ้านมาก ไม่สามารถขอทุนอยู่หอได้ พิจารณาใช้เวลาและเงินมากขึ้นในการเดินทาง,1
ขอให้ทางมหาวิทยาลัยอย่าให้ไปกลับจากเวียงัวไปแม่ริม หรือ จากแม่ริมมาเวียงบัว เพราะคนอยู่หอพักที่แม่ริมลำบาก,1
เสนอว่าไม่อยากให้ไปที่แม่ริมเพราะมันไกลจากที่อยู่มาก,1
ทำงานในเมือง เสียเวลาทำงาน โดนหักเงินเดือน เพราะต้องเดินทางไกล,1
ย้ายไปเมื่อพร้อม         ( บางตึกยังสร้างไม่เสร็จ ),1
ต้องมีสิ่งอำนวยความสะดวกที่ครบครัน เพื่อไม่ให้นักศึกษาขาดสิ่งอำนวยความสะดวก,0
ไปทำงานตอนเย็นไม่ทัน,1
ควรมีการแนะแนวสู่การทำงานในอนาคตและให้อาจารย์พาไปฝึกงานนอกสถานที่เยอะๆ,1
อยากให้ทางมหาวิทยาลัยจัดรถประจำทางให้นักศึกษา,0
อยากเรียนในตัวเมือง ไม่อยากไปเรียนที่แม่ริม,1
อยู่ห่างไกลจนเกินไป,1
ขอใส่ผ้าใบได้ไหม เจ็บเท้ามาก,1
อาจารย์แต่ละท่านเป็นกันเองมาก ไม่น่ากลัวอย่างที่คิด,0
มีวิชาที่เกี่ยวกับอาหารมากขึ้น มีความรู้ใหม่ๆ มาอัปเดต เช่น  อาหารฝรั่งเศษ  เบเกอรี่ในแต่ละประเภทโดเด่นด้านไหน  กาแฟและเครื่องดื่ม,0
เรียนได้หมดเพราะระยะทางพอๆ กัน,0
อยากให้เข้าไปเรียนที่ศูนย์แม่ริมเร็วที่สุดพร้อมคณะครุศาสตร์,1
ขอให้มีระบบขนส่งถูกๆ ให้กับนักศึกษา,0
ต้องมีสถานที่พักสำหรับนักศึกษา เพื่อสะดวกในการเดินทางไปเรียน,0
คิดว่าเมื่อต้อง้ายหลักสูตรไปมหาวิทยาลัยควรเตรียมความพร้อมให้พร้อมในการใช้งานจริงให้ได้,0
มีร้านค้าและสถานที่ให้ความสะดวกในการเดินทาง,0
