sentence,label,probability
บริการขนส่งนักศึกษาที่ไม่สามารถย้ายไปศูนย์แม่ริมได้,1,0.7316899964034722
อยากให้เปิดศูนย์แม่ริมเร็วๆ เนื่องจากบ้านผมอยู่ใกล้ จะได้ช้วยลดค่าใช้จ่าย,1,0.6736735585094039
ศูนย์แม่ริมอยู่ไกลจากบ้านมาก ไม่สามารถขอทุนอยู่หอได้ พิจารณาใช้เวลาและเงินมากขึ้นในการเดินทาง,1,0.7810178743725488
ขอให้ทางมหาวิทยาลัยอย่าให้ไปกลับจากเวียงัวไปแม่ริม หรือ จากแม่ริมมาเวียงบัว เพราะคนอยู่หอพักที่แม่ริมลำบาก,1,0.8304757210543982
เสนอว่าไม่อยากให้ไปที่แม่ริมเพราะมันไกลจากที่อยู่มาก,1,0.8525806888497675
ทำงานในเมือง เสียเวลาทำงาน โดนหักเงินเดือน เพราะต้องเดินทางไกล,1,0.7771355597197237
ย้ายไปเมื่อพร้อม         ( บางตึกยังสร้างไม่เสร็จ ),1,0.7047447736295909
ต้องมีสิ่งอำนวยความสะดวกที่ครบครัน เพื่อไม่ให้นักศึกษาขาดสิ่งอำนวยความสะดวก,0,0.5624359315742288
ไปทำงานตอนเย็นไม่ทัน,1,0.5662039853742561
ควรมีการแนะแนวสู่การทำงานในอนาคตและให้อาจารย์พาไปฝึกงานนอกสถานที่เยอะๆ,1,0.5410419423108067
อยากให้ทางมหาวิทยาลัยจัดรถประจำทางให้นักศึกษา,0,0.5826771552177054
อยากเรียนในตัวเมือง ไม่อยากไปเรียนที่แม่ริม,1,0.824489551806069
อยู่ห่างไกลจนเกินไป,1,0.5672514619883042
ขอใส่ผ้าใบได้ไหม เจ็บเท้ามาก,1,0.6882505021872598
อาจารย์แต่ละท่านเป็นกันเองมาก ไม่น่ากลัวอย่างที่คิด,0,0.5545037915634753
มีวิชาที่เกี่ยวกับอาหารมากขึ้น มีความรู้ใหม่ๆ มาอัปเดต เช่น  อาหารฝรั่งเศษ  เบเกอรี่ในแต่ละประเภทโดเด่นด้านไหน  กาแฟและเครื่องดื่ม,0,0.5656662327281256
เรียนได้หมดเพราะระยะทางพอๆ กัน,1,0.7090323904944538
อยากให้เข้าไปเรียนที่ศูนย์แม่ริมเร็วที่สุดพร้อมคณะครุศาสตร์,1,0.8430942303365637
ขอให้มีระบบขนส่งถูกๆ ให้กับนักศึกษา,0,0.5695603085766322
ต้องมีสถานที่พักสำหรับนักศึกษา เพื่อสะดวกในการเดินทางไปเรียน,0,0.69025387164825
คิดว่าเมื่อต้อง้ายหลักสูตรไปมหาวิทยาลัยควรเตรียมความพร้อมให้พร้อมในการใช้งานจริงให้ได้,0,0.6638319316751978
มีร้านค้าและสถานที่ให้ความสะดวกในการเดินทาง,0,0.6864775882653815
